,Country,EdLevel,YearsCodePro,Salary
347,0,0,10.0,43426.0
348,0,1,6.0,32250.0
349,0,2,5.0,46767.0
350,0,2,3.0,46767.0
351,0,0,4.0,70150.0
352,0,0,3.0,49439.0
353,0,0,4.0,70818.0
354,0,0,0.5,70150.0
355,0,0,2.0,86853.0
356,0,0,3.0,72388.0
357,0,0,3.0,66810.0
358,0,1,4.0,86853.0
359,0,0,10.0,90193.0
360,0,0,5.0,66810.0
361,0,1,6.0,43426.0
362,0,0,7.0,66810.0
363,0,3,10.0,97542.0
364,0,2,0.5,40080.0
365,0,2,0.5,40080.0
366,0,0,10.0,20043.0
367,0,0,8.0,93533.0
368,0,0,6.0,66142.0
369,0,0,7.0,83512.0
370,0,2,3.0,76831.0
371,0,3,10.0,84180.0
372,0,0,7.0,80172.0
373,0,1,4.0,50107.0
374,0,0,3.0,60129.0
375,0,0,5.0,48103.0
376,0,2,5.0,54784.0
377,0,0,7.0,66810.0
378,0,0,8.0,48108.0
379,0,0,8.0,100214.0
380,0,2,5.0,78835.0
381,0,0,6.0,86853.0
382,0,0,5.0,103555.0
383,0,0,4.0,66810.0
384,0,0,8.0,83512.0
385,0,1,4.0,76831.0
386,0,0,8.0,100214.0
387,0,0,6.0,70150.0
388,0,0,0.5,40086.0
389,0,1,6.0,64137.0
390,0,1,10.0,98745.0
391,0,1,7.0,80172.0
392,0,2,8.0,100214.0
393,0,3,9.0,103555.0
394,0,1,1.0,87521.0
395,0,1,3.0,130947.0
396,0,0,7.0,57790.0
397,0,0,8.0,86853.0
398,0,3,5.0,100214.0
399,0,0,1.0,60129.0
400,0,0,6.0,66810.0
401,0,1,6.0,73491.0
402,0,0,4.0,93533.0
403,0,0,4.0,110904.0
404,0,0,3.0,56788.0
405,0,0,3.0,86853.0
406,0,0,2.0,92398.0
407,0,0,0.5,66810.0
408,0,1,0.5,53448.0
409,0,1,5.0,50100.0
410,0,2,3.0,96874.0
411,0,1,0.5,33400.0
412,0,0,3.0,90193.0
413,0,1,5.0,86853.0
414,0,1,2.0,50100.0
415,0,0,6.0,76831.0
416,0,2,3.0,47769.0
417,0,0,0.5,53448.0
418,0,2,8.0,50107.0
419,0,2,3.0,43426.0
420,0,3,4.0,70150.0
421,0,0,6.0,80172.0
422,0,0,0.5,80172.0
423,0,0,0.5,52780.0
424,0,0,10.0,120257.0
425,0,0,10.0,113576.0
426,0,0,6.0,48103.0
427,0,0,7.0,46767.0
428,0,2,4.0,56120.0
429,1,0,4.0,22536.0
430,1,3,4.0,10992.0
431,1,0,3.0,5496.0
432,1,0,4.0,17868.0
433,1,1,6.0,9072.0
434,1,0,3.0,18326.0
435,1,1,8.0,5496.0
436,1,1,4.0,16035.0
437,1,1,6.0,26796.0
438,1,0,2.0,27492.0
439,1,3,4.0,17868.0
440,1,0,8.0,41232.0
441,1,0,4.0,27492.0
442,1,3,4.0,27492.0
443,1,1,5.0,13973.0
444,1,1,2.0,5220.0
445,1,0,10.0,16488.0
446,1,0,2.0,9624.0
447,1,1,1.0,6876.0
448,1,1,6.0,30240.0
449,1,0,0.5,5088.0
450,1,0,2.0,9900.0
451,1,2,8.0,10992.0
452,1,1,7.0,18326.0
453,1,0,2.0,9072.0
454,1,0,3.0,13744.0
455,1,0,5.0,24744.0
456,1,0,5.0,10308.0
457,1,0,7.0,41232.0
458,1,2,4.0,27492.0
459,1,0,3.0,15948.0
460,1,1,4.0,13740.0
461,1,1,1.0,6600.0
462,1,0,8.0,35736.0
463,1,0,4.0,29688.0
464,1,1,0.5,6456.0
465,1,1,2.0,4944.0
466,1,1,0.5,5496.0
467,1,1,6.0,11544.0
468,1,2,6.0,16488.0
469,1,0,2.0,8244.0
470,1,1,4.0,13200.0
471,1,0,9.0,21996.0
472,1,2,4.0,6048.0
473,1,1,10.0,32988.0
474,1,0,4.0,31608.0
475,1,0,3.0,17388.0
476,1,0,5.0,19788.0
477,1,0,1.0,10716.0
478,1,0,2.0,11304.0
479,1,1,6.0,24744.0
480,1,0,6.0,43980.0
481,1,2,6.0,21660.0
482,1,0,8.0,34360.0
483,1,0,3.0,5496.0
484,1,0,3.0,10176.0
485,1,0,4.0,16488.0
486,1,0,10.0,28584.0
487,1,0,9.0,36144.0
488,1,0,8.0,13740.0
489,1,1,1.0,6324.0
490,1,0,5.0,9564.0
491,1,0,4.0,9624.0
492,1,0,8.0,32988.0
493,1,0,5.0,46728.0
494,1,0,2.0,19236.0
495,1,1,4.0,19236.0
496,1,1,6.0,10992.0
497,1,1,1.0,6876.0
498,1,1,3.0,12096.0
499,1,1,3.0,10995.0
500,1,0,9.0,24744.0
501,1,0,4.0,21996.0
502,1,1,2.0,10440.0
503,1,0,4.0,15120.0
504,1,0,6.0,5496.0
505,1,0,5.0,13740.0
506,1,0,2.0,6876.0
507,1,2,10.0,10992.0
508,1,1,3.0,41232.0
509,1,0,8.0,16488.0
510,1,0,2.0,12924.0
511,1,2,10.0,27488.0
512,1,1,0.5,6048.0
513,1,1,3.0,12372.0
514,1,1,2.0,19236.0
515,1,1,2.0,14889.0
516,1,1,3.0,8796.0
517,1,0,10.0,30000.0
518,1,1,5.0,43980.0
519,1,0,4.0,19236.0
520,1,1,2.0,10440.0
521,1,0,10.0,19512.0
522,1,0,5.0,38484.0
523,1,2,3.0,11544.0
524,1,1,2.0,14628.0
525,1,0,6.0,41232.0
526,1,1,5.0,49476.0
527,1,1,6.0,9624.0
528,1,1,3.0,4128.0
529,1,0,3.0,22260.0
530,1,0,10.0,41232.0
531,1,0,9.0,10992.0
532,1,0,3.0,35048.0
533,1,0,7.0,17868.0
534,1,0,0.5,17040.0
535,1,1,2.0,10440.0
536,1,0,10.0,30240.0
537,1,1,3.0,24744.0
538,1,2,5.0,30240.0
539,1,0,0.5,12372.0
540,1,0,2.0,13740.0
541,1,1,7.0,24744.0
542,1,0,3.0,27492.0
543,1,0,4.0,27492.0
544,1,0,3.0,13464.0
545,1,0,10.0,12648.0
546,1,1,4.0,19236.0
547,1,0,3.0,34360.0
548,1,0,9.0,16080.0
549,1,1,3.0,13740.0
550,1,0,4.0,10992.0
551,1,2,3.0,13740.0
